,1GP1,2F8A,2GS3,2HE3,2I3Y,2OBI,2P31,2P5Q,2P5R,2R37,2RM5,2RM6,2V1M,2VUP,2WGR,3CMI,3CYN,3DWV,3E0U,3KIJ,5H5Q,5H5R,5H5S,5L71,6ELW,6HKQ,6HN3,6VPD,7FC2,7L8K,7L8L,7L8M,7L8Q,7L8R,7U4I,7U4J,7U4K,7U4L,7U4M,7U4N,8Q8J,8Q8N,8XYR,8XYS,8XYT,8XYU,9J6L,9JL8,9JL9,9JLA,9KZM,9RF1
L10,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L11,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L12,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L13,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L14,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L15,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L16,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L17,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L18,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L19,0.3438877921334029,0.33092849116655265,,,,,,,,,,,0.1803263688143136,,,0.1729151637002302,,,0.10159007752528114,,0.14893238746576187,0.14766999447197762,0.16387959024977142,,0.14490943072411647,0.14882162374990582,0.16826060179580496,0.12493053485725504,,,0.14058813836889603,,0.15412543695959227,,0.14130246076579348,0.1581544181623978,,,,,,,,,,,,,,,,
L20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
